"subject_id","age","sex","harshness","universe","looplabel","uni_num","trial","armpick","runlength","rewardfound","switch"
"355",21,"0","harsh","stable","loop1",4,5,"four",0,86,0
"355",21,"0","harsh","stable","loop1",4,6,"four",1,89,0
"355",21,"0","harsh","stable","loop1",4,7,"four",2,92,0
"355",21,"0","harsh","stable","loop1",4,8,"four",3,92,0
"355",21,"0","harsh","stable","loop1",4,9,"four",4,85,0
"355",21,"0","harsh","stable","loop1",4,10,"four",5,89,0
"355",21,"0","harsh","stable","loop1",4,11,"four",6,88,0
"355",21,"0","harsh","stable","loop1",4,12,"four",7,84,0
"355",21,"0","harsh","stable","loop1",4,13,"four",8,80,0
"355",21,"0","harsh","stable","loop1",4,14,"four",9,72,0
"355",21,"0","harsh","stable","loop1",4,15,"four",10,80,0
"355",21,"0","harsh","stable","loop1",4,16,"four",11,89,0
"355",21,"0","harsh","stable","loop1",4,17,"four",12,87,0
"355",21,"0","harsh","stable","loop1",4,18,"four",13,83,0
"355",21,"0","harsh","stable","loop1",4,19,"four",14,82,0
"355",21,"0","harsh","stable","loop1",4,20,"four",15,86,0
"355",21,"0","harsh","stable","loop1",4,21,"four",16,86,0
"355",21,"0","harsh","stable","loop1",4,22,"four",17,89,0
"355",21,"0","harsh","stable","loop1",4,23,"four",18,85,0
"355",21,"0","harsh","stable","loop1",4,24,"four",19,77,0
"355",21,"0","harsh","stable","loop1",4,25,"four",20,84,0
"355",21,"0","harsh","stable","loop1",4,26,"four",21,84,0
"355",21,"0","harsh","stable","loop1",4,27,"four",22,89,0
"355",21,"0","harsh","stable","loop1",4,28,"four",23,90,0
"355",21,"0","harsh","stable","loop1",4,29,"four",24,86,0
"355",21,"0","harsh","stable","loop1",4,30,"four",25,82,0
"355",21,"0","harsh","stable","loop1",4,31,"four",26,90,0
"355",21,"0","harsh","stable","loop1",4,32,"four",27,86,0
"355",21,"0","harsh","stable","loop1",4,33,"four",28,80,0
"355",21,"0","harsh","stable","loop1",4,34,"four",29,80,0
"355",21,"0","harsh","stable","loop1",4,35,"four",30,77,0
"355",21,"0","harsh","stable","loop1",4,36,"four",31,77,0
"355",21,"0","harsh","stable","loop1",4,37,"four",32,80,0
"355",21,"0","harsh","stable","loop1",4,38,"four",33,82,0
"355",21,"0","harsh","stable","loop1",4,39,"four",34,85,0
"355",21,"0","harsh","stable","loop1",4,40,"four",35,84,0
"355",21,"0","harsh","stable","loop1",4,41,"four",36,85,0
"355",21,"0","harsh","stable","loop1",4,42,"four",37,88,0
"355",21,"0","harsh","stable","loop1",4,43,"four",38,87,0
"355",21,"0","harsh","stable","loop1",4,44,"four",39,82,0
"355",21,"0","harsh","stable","loop1",4,45,"four",40,91,0
"355",21,"0","harsh","stable","loop1",4,46,"four",41,87,0
"355",21,"0","harsh","stable","loop1",4,47,"four",42,94,0
"355",21,"0","harsh","stable","loop1",4,48,"four",43,89,0
"355",21,"0","harsh","stable","loop1",4,49,"four",44,94,0
"355",21,"0","harsh","stable","loop1",4,50,"four",45,90,0
"355",21,"0","harsh","stable","loop1",4,51,"four",46,85,0
"355",21,"0","harsh","stable","loop1",4,52,"four",47,87,0
